,entity_id,score,label_value,majority_race,poverty-rate
1369,170310629002,0.0,0.0,White,1.80-9.58
1374,170310629003,0.0,0.0,White,1.80-9.58
1379,170310630001,0.0,0.0,White,9.58-22.42
1384,170310630002,0.0,0.0,White,0.00-1.80
1389,170310630003,0.0,0.0,White,0.00-1.80
1394,170310631001,0.0,0.0,White,0.00-1.80
1399,170310631002,0.0,0.0,White,1.80-9.58
1404,170310632001,0.0,0.0,White,0.00-1.80
1409,170310632002,0.0,0.0,White,0.00-1.80
1414,170310632003,0.0,0.0,White,0.00-1.80
1419,170310632004,0.0,0.0,White,0.00-1.80
1424,170310632005,0.0,0.0,White,22.42-100.00
1429,170310632006,0.0,0.0,White,22.42-100.00
1434,170310633011,0.0,0.0,White,1.80-9.58
1439,170310633012,0.0,0.0,White,0.00-1.80
1444,170310633013,0.0,0.0,White,22.42-100.00
1449,170310633021,0.0,0.0,White,0.00-1.80
1454,170310633022,0.0,0.0,White,0.00-1.80
1459,170310633023,0.0,0.0,White,0.00-1.80
1464,170310633024,0.0,0.0,White,22.42-100.00
1469,170310633031,0.0,0.0,White,0.00-1.80
1474,170310633032,0.0,0.0,White,0.00-1.80
1479,170310634001,0.0,0.0,White,0.00-1.80
1484,170310634002,0.0,0.0,White,0.00-1.80
1489,170310701011,0.0,0.0,White,0.00-1.80
1494,170310701012,0.0,0.0,White,0.00-1.80
1499,170310701013,0.0,0.0,White,9.58-22.42
1504,170310701021,0.0,0.0,White,0.00-1.80
1509,170310701022,0.0,0.0,White,0.00-1.80
1514,170310701023,0.0,0.0,White,0.00-1.80
1519,170310701031,0.0,0.0,White,0.00-1.80
1524,170310701032,0.0,0.0,White,0.00-1.80
1529,170310702001,0.0,0.0,White,1.80-9.58
1534,170310702002,0.0,0.0,White,1.80-9.58
1539,170310702003,0.0,0.0,White,0.00-1.80
1544,170310703001,0.0,0.0,White,1.80-9.58
1549,170310703002,0.0,0.0,White,0.00-1.80
1554,170310704001,0.0,0.0,White,0.00-1.80
1559,170310704002,0.0,0.0,White,0.00-1.80
1564,170310704003,0.0,0.0,White,1.80-9.58
1569,170310705001,0.0,0.0,White,0.00-1.80
1574,170310705002,0.0,0.0,White,0.00-1.80
1579,170310705003,0.0,0.0,White,0.00-1.80
1584,170310706001,0.0,0.0,White,0.00-1.80
1589,170310706002,0.0,0.0,White,0.00-1.80
1594,170310707001,0.0,0.0,White,1.80-9.58
1599,170310707002,0.0,0.0,White,9.58-22.42
1604,170310710001,0.0,0.0,White,0.00-1.80
1609,170310710002,0.0,0.0,White,1.80-9.58
1614,170310711001,0.0,0.0,White,0.00-1.80
1619,170310711002,0.0,0.0,White,0.00-1.80
1624,170310712001,0.0,0.0,White,9.58-22.42
1629,170310712002,0.0,0.0,White,1.80-9.58
1634,170310713001,0.0,0.0,White,0.00-1.80
1639,170310713002,0.0,0.0,White,1.80-9.58
1644,170310714001,0.0,0.0,White,0.00-1.80
1649,170310714002,0.0,0.0,White,0.00-1.80
1654,170310714003,0.0,0.0,White,0.00-1.80
1659,170310714004,0.0,0.0,White,22.42-100.00
1664,170310715001,0.0,0.0,White,0.00-1.80
1669,170310715002,0.0,0.0,White,0.00-1.80
1674,170310715003,0.0,0.0,White,1.80-9.58
1679,170310715004,0.0,0.0,White,9.58-22.42
1684,170310715005,0.0,0.0,White,0.00-1.80
1689,170310715006,0.0,0.0,White,0.00-1.80
1694,170310716001,0.0,0.0,White,1.80-9.58
1699,170310717001,0.0,0.0,White,0.00-1.80
1704,170310717002,0.0,0.0,White,9.58-22.42
1709,170310718001,0.0,0.0,White,0.00-1.80
1714,170310718002,0.0,0.0,White,0.00-1.80
1719,170310801001,0.0,0.0,White,0.00-1.80
1724,170310801002,0.0,0.0,White,0.00-1.80
1729,170310801003,0.0,0.0,White,0.00-1.80
1734,170310801004,0.0,0.0,White,0.00-1.80
1739,170310801005,0.0,0.0,White,0.00-1.80
1744,170310801006,0.0,0.0,White,0.00-1.80
1749,170310801007,0.0,0.0,White,0.00-1.80
1754,170310802011,0.0,0.0,White,0.00-1.80
1759,170310802012,0.0,0.0,White,0.00-1.80
1764,170310802013,0.0,0.0,White,0.00-1.80
1769,170310802021,0.0,0.0,White,0.00-1.80
1774,170310802022,0.0,0.0,White,0.00-1.80
1779,170310802023,0.0,0.0,White,1.80-9.58
1784,170310803001,0.0,0.0,White,0.00-1.80
1789,170310803002,0.0,0.0,White,9.58-22.42
1794,170310803003,0.0,0.0,White,0.00-1.80
1799,170310803004,0.0,0.0,White,1.80-9.58
1804,170310804001,1.0,1.0,African-American,22.42-100.00
1809,170310804002,1.0,0.0,African-American,22.42-100.00
1814,170310804003,0.0,0.0,White,0.00-1.80
1819,170310810001,0.0,0.0,White,0.00-1.80
1824,170310810002,0.0,0.0,White,22.42-100.00
1829,170310810003,0.0,0.0,White,0.00-1.80
1834,170310810004,0.0,0.0,White,0.00-1.80
1839,170310810005,0.0,0.0,White,9.58-22.42
1844,170310810006,0.0,1.0,White,22.42-100.00
1849,170310811001,0.0,0.0,White,0.00-1.80
1854,170310811002,1.0,0.0,None,0.00-1.80
1859,170310811003,0.0,0.0,White,0.00-1.80
